ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
vanT gene in vanG cluster	3002972	protein homolog model	Resistomes & Variants	100	29.59 - 48.38	YES	NO	Anaerostipes hadrus; Anaerococcus mediterraneensis; Alistipes putredinis; Bacillus cereus; Borreliella garinii; Campylobacter ureolyticus; Borrelia hermsii; Bacteroides ovatus; Brevibacillus laterosporus; Bacteroides thetaiotaomicron; Clostridium septicum; Chryseobacterium taklimakanense; Bacteroides caccae; Bacillus pumilus; Bacillus amyloliquefaciens; Dysosmobacter welbionis; Clostridium botulinum; Clostridium sporogenes; Collinsella aerofaciens; Bacteroides fragilis; Clostridium butyricum; Roseburia hominis; Phocaeicola massiliensis; Phocaeicola vulgatus; Eubacterium limosum; Faecalibacterium prausnitzii; Prevotella intermedia; Streptococcus gallolyticus; Streptococcus pasteurianus; Erysipelatoclostridium ramosum; Enterocloster clostridioformis; Ruthenibacterium lactatiformans; Parabacteroides distasonis; Fusobacterium nucleatum; Erysipelothrix rhusiopathiae; Parvimonas micra; Gordonibacter urolithinfaciens	1821.00	0.00	1821.00	28.39	463.98	132.16	0	0	0	0	N/A	N/A		1164; 1119; 2373; 2373; 1236; 1170; 1245; 1170; 1170; 1101; 1101; 1131; 1101; 2541; 2541; 2541; 2541; 2541; 2541; 2493; 2541; 2541; 2541; 2541; 2541; 1299; 2550; 2550; 2550; 2550; 1158; 2448; 2493; 2493; 2493; 1212; 1272; 1182; 1167; 984; 882; 1167; 1137; 984; 1215; 1170; 1215; 1209; 1146; 1146; 1146; 1146; 2496; 2496; 2496; 2547; 1167; 1170; 2466; 2466; 2466; 1200; 1203; 1206; 1206; 1203; 1197; 1203; 1203; 1197; 1197; 1197; 1197; 1197; 1197; 1203; 1206; 1206; 1206; 1197; 1206; 1203; 1197; 1206; 1206; 1206; 2481; 1107; 1065; 1131; 1191; 1191; 2175; 2466; 1065; 1065; 1065; 1128; 1182; 1389	glycopeptide resistance gene cluster; vanT	glycopeptide antibiotic	antibiotic target alteration
tet(O)	3000190	protein homolog model	Resistomes & Variants	41	89.36 - 99.53	YES	YES	Anaerostipes hadrus; Blautia producta; Campylobacter coli; Enterocloster clostridioformis; Enterococcus faecalis; Enterococcus faecium; Roseburia hominis; Streptococcus agalactiae; Streptococcus anginosus; Streptococcus equi; Streptococcus intermedius; Streptococcus mitis; Streptococcus pneumoniae; Streptococcus pseudopneumoniae; Streptococcus pyogenes; Streptococcus sanguinis; Streptococcus suis; Campylobacter jejuni; Bifidobacterium breve; Erysipelatoclostridium ramosum; Ruthenibacterium lactatiformans; Streptococcus constellatus; Streptococcus dysgalactiae; Streptococcus gordonii; Faecalibacterium prausnitzii; Enterococcus hirae	4589.00	0.00	4589.00	40.69	756.22	181.72	0	0	0	0	N/A	N/A		1920; 1920; 1920; 1920; 1920; 1920; 1920; 930; 1920; 1746; 777; 1920; 1467; 1920; 1920; 1920; 1920; 930; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 2007; 1932; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
catS	3002688	protein homolog model	Resistomes & Variants	4	85.98 - 100.0	YES	NO	Anaerostipes hadrus; Faecalibacterium prausnitzii; Parvimonas micra; Neisseria brasiliensis; Streptococcus agalactiae	19.00	0.00	19.00	37.22	232.25	171.50	0	0	0	0	N/A	N/A		624; 624; 624; 624	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
lnuC	3002837	protein homolog model	Resistomes & Variants	3	89.63 - 98.17	NO	NO	Anaerostipes hadrus; Streptococcus dysgalactiae; Lactobacillus crispatus; Streptococcus agalactiae	78.00	0.00	78.00	62.38	345.00	152.30	0	0	0	0	N/A	N/A		543; 495; 564	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
OXA-726	3005931	protein homolog model	Resistomes & Variants	1	98.48	NO	NO	Aeromonas hydrophila	1.00	0.00	1.00	2.64	21.00	45.00	0	0	0	0	N/A	N/A		795	OXA beta-lactamase; OXA-12-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
FosA8	3007371	protein homolog model	Resistomes & Variants	3	53.33 - 61.03	NO	NO	Acinetobacter nosocomialis; Pseudomonas aeruginosa; Pseudomonas putida	6.00	0.00	6.00	6.96	28.67	35.83	0	0	0	0	N/A	N/A		417; 411; 411	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
qacG	3007015	protein homolog model	Resistomes & Variants	6	38.1 - 48.08	YES	NO	Acinetobacter johnsonii; Elizabethkingia anophelis; Enterobacter cloacae; Enterobacter roggenkampii; Pseudomonas aeruginosa; Stenotrophomonas maltophilia	16.00	0.00	16.00	14.82	49.50	46.86	0	0	0	0	N/A	N/A		345; 333; 333; 327; 342; 333	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
vanH gene in vanB cluster	3002943	protein homolog model	Resistomes & Variants	3	35.99 - 39.49	NO	NO	Alistipes putredinis; Pseudomonas stutzeri	111.00	0.00	111.00	46.94	466.67	133.51	0	0	0	0	N/A	N/A		996; 996; 987	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
adeF	3000777	protein homolog model	Resistomes & Variants	86	40.64 - 53.4	YES	NO	Alistipes putredinis; Achromobacter xylosoxidans; Campylobacter concisus; Cronobacter sakazakii; Bacteroides ovatus; Bacteroides thetaiotaomicron; Butyricimonas faecalis; Bacteroides caccae; Cronobacter universalis; Bacteroides fragilis; Burkholderia lata; Phocaeicola massiliensis; Phocaeicola vulgatus; Klebsiella pneumoniae; Pseudomonas putida; Pseudomonas chlororaphis; Parabacteroides distasonis; Inquilinus limosus; Pseudomonas aeruginosa; Laribacter hongkongensis; Pseudomonas synxantha	2632.00	0.00	2632.00	22.89	726.14	136.88	0	0	0	0	N/A	N/A		3099; 3099; 3099; 3099; 3099; 3180; 3183; 3183; 3180; 3126; 3120; 3150; 3105; 3105; 3150; 3105; 3105; 3105; 3105; 3105; 3150; 3150; 3105; 3150; 3105; 3105; 3150; 3105; 3105; 3150; 3150; 3105; 3105; 3105; 3105; 3258; 3147; 3105; 3147; 3105; 3105; 3105; 3105; 3147; 3147; 3099; 3126; 3147; 3105; 3105; 3147; 3105; 3105; 3150; 3180; 3123; 3180; 3147; 3180; 3195; 3099; 3117; 3102; 3102; 3117; 3117; 3102; 3117; 3102; 3336; 3153; 3162; 3129; 4485; 4485; 4485; 3138; 3165; 3138; 4485; 4485; 3138; 3183; 3135; 3198; 3099	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
abeS	3000768	protein homolog model	Resistomes & Variants	1	95.41	NO	NO	Acinetobacter calcoaceticus	1.00	0.00	1.00	5.15	17.00	23.00	0	0	0	0	N/A	N/A		330	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminocoumarin antibiotic	antibiotic efflux
ADC-201	3006370	protein homolog model	Resistomes & Variants	1	95.56	NO	NO	Acinetobacter pittii	3.00	0.00	3.00	1.56	18.00	34.00	0	0	0	0	N/A	N/A		1152	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
Acinetobacter baumannii AbaF	3004573	protein homolog model	Resistomes & Variants	1	99.07	NO	NO	Acinetobacter pittii	5.00	0.00	5.00	3.64	47.00	42.80	0	0	0	0	N/A	N/A		1290	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
tet(X)	3000205	protein homolog model	Resistomes & Variants	1	99.48	YES	YES	Acinetobacter pittii; Bacteroides ovatus; Bacteroides thetaiotaomicron; Chryseobacterium taklimakanense; Elizabethkingia anophelis; Myroides odoratimimus; Myroides phaeus; Phocaeicola dorei; Phocaeicola vulgatus	139.00	0.00	139.00	100.00	1167.00	182.53	0	0	0	0	N/A	N/A		1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
qacJ	3007014	protein homolog model	Resistomes & Variants	15	35.58 - 71.03	YES	YES	Avibacterium paragallinarum; Bacillus cereus; Bacillus anthracis; Bacillus thuringiensis; Bacillus amyloliquefaciens; Bacillus velezensis; Chryseobacterium taklimakanense; Citrobacter portucalensis; Clostridium butyricum; Escherichia coli; Vibrio parahaemolyticus; Staphylococcus warneri; Macrococcus canis; Streptococcus gordonii; Staphylococcus aureus	69.00	0.00	69.00	13.76	45.93	60.11	0	0	0	0	N/A	N/A		330; 324; 363; 363; 384; 441; 330; 333; 321; 312; 330; 246; 324; 324; 306	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
LpsB	3005051	protein homolog model	Resistomes & Variants	1	95.36	NO	NO	Acinetobacter baumannii	1.00	0.00	1.00	1.73	19.00	34.00	0	0	0	0	N/A	N/A		1101	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic
OXA-912	3006099	protein homolog model	Resistomes & Variants	1	98.86	YES	NO	Aeromonas veronii	3.00	0.00	3.00	7.04	56.00	72.67	0	0	0	0	N/A	N/A		795	OXA beta-lactamase; OXA-12-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
vanY gene in vanA cluster	3002955	protein homolog model	Resistomes & Variants	5	37.67 - 67.27	YES	YES	Bacillus cereus; Bacillus thuringiensis	14.00	0.00	14.00	11.88	40.00	47.60	0	0	0	0	N/A	N/A		339; 741; 234; 327; 318	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanY gene in vanB cluster	3002956	protein homolog model	Resistomes & Variants	71	28.03 - 99.25	YES	YES	Bacillus cereus; Bacillus thuringiensis; Bacillus amyloliquefaciens; Bacillus velezensis; Clostridium perfringens; Dysosmobacter welbionis; Clostridium botulinum; Clostridium sporogenes; Streptococcus pyogenes; Roseburia hominis; Paeniclostridium sordellii; Faecalibacterium prausnitzii; Streptococcus gallolyticus; Streptococcus pasteurianus; Erysipelatoclostridium ramosum; Enterocloster clostridioformis; Enterococcus faecalis; Enterococcus faecium; Ruthenibacterium lactatiformans; Streptococcus lutetiensis; Staphylococcus epidermidis; Lactococcus garvieae; Streptococcus agalactiae	650.00	0.00	650.00	28.84	243.72	129.62	0	0	0	0	N/A	N/A		780; 939; 708; 780; 756; 780; 780; 819; 819; 792; 855; 813; 813; 717; 699; 783; 717; 744; 759; 726; 705; 705; 705; 705; 831; 831; 813; 813; 891; 921; 834; 924; 891; 813; 921; 891; 891; 891; 921; 921; 921; 891; 891; 921; 921; 813; 891; 921; 834; 924; 891; 813; 813; 813; 921; 831; 774; 1248; 1191; 723; 705; 807; 639; 2505; 2505; 777; 777; 765; 786; 804; 753	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanY gene in vanM cluster	3002961	protein homolog model	Resistomes & Variants	12	28.57 - 43.57	YES	NO	Bacillus cereus; Borrelia crocidurae; Borreliella afzelii; Paeniclostridium sordellii; Faecalibacterium prausnitzii; Macrococcus canis; Parvimonas micra; Streptococcus pneumoniae; Staphylococcus arlettae	45.00	0.00	45.00	8.89	71.83	72.95	0	0	0	0	N/A	N/A		741; 714; 807; 789; 708; 807; 807; 711; 891; 663; 768; 678	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
FosB2	3005100	protein homolog model	Resistomes & Variants	1	86.96	NO	NO	Bacillus cereus	1.00	0.00	1.00	6.00	25.00	34.00	0	0	0	0	N/A	N/A		417	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
ErmG	3000522	protein homolog model	Resistomes & Variants	2	98.77 - 99.18	NO	NO	Bacillus cereus; Clostridium perfringens; Klebsiella pneumoniae; Phocaeicola vulgatus	3.00	0.00	3.00	15.38	113.00	176.00	0	0	0	0	N/A	N/A		735; 735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
BcIII	3007101	protein homolog model	Resistomes & Variants	6	64.0 - 89.56	YES	YES	Bacillus cereus; Bacillus thuringiensis	20.00	0.00	20.00	2.92	27.67	39.50	0	0	0	0	N/A	N/A		936; 990; 939; 936; 951; 936	class A Bacillus cereus Bc beta-lactamase	cephalosporin	antibiotic inactivation
tetB(P)	3000195	protein homolog model	Resistomes & Variants	5	46.17 - 99.39	YES	NO	Bacillus cereus; Clostridium butyricum; Clostridium perfringens; Paeniclostridium sordellii; unclassified Bacteria; Peptacetobacter hiranonis	42.00	0.00	42.00	23.97	469.60	131.31	0	0	0	0	N/A	N/A		1944; 1959; 1959; 1959; 1956	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
BcII	3002878	protein homolog model	Resistomes & Variants	3	89.41 - 92.19	YES	NO	Bacillus cereus; Bacillus thuringiensis	3.00	0.00	3.00	3.14	24.33	46.00	0	0	0	0	N/A	N/A		780; 774; 774	subclass B1 Bacillus cereus Bc beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
BcI	3002877	protein homolog model	Resistomes & Variants	2	86.93 - 87.58	NO	NO	Bacillus cereus	13.00	0.00	13.00	3.57	37.00	46.96	0	0	0	0	N/A	N/A		1047; 999	class A Bacillus cereus Bc beta-lactamase	cephalosporin	antibiotic inactivation
APH(2'')-If	3004191	protein homolog model	Resistomes & Variants	4	82.77 - 100.0	NO	YES	Campylobacter jejuni; Campylobacter coli; Campylobacter upsaliensis; Faecalibacterium prausnitzii; Ruthenibacterium lactatiformans	14.00	0.00	14.00	17.51	212.50	153.88	0	0	0	0	N/A	N/A		894; 906; 894; 1455	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-184	3001476	protein homolog model	Resistomes & Variants	1	98.79	NO	NO	Campylobacter jejuni	53.00	0.00	53.00	10.94	105.00	75.68	0	0	0	0	N/A	N/A		960	OXA beta-lactamase; OXA-184-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-447	3003603	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Campylobacter jejuni	1.00	0.00	1.00	3.10	23.00	34.00	0	0	0	0	N/A	N/A		741	OXA beta-lactamase; OXA-184-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
ykkC	3003063	protein homolog model	Resistomes & Variants	3	93.75 - 98.21	YES	NO	Bacillus tequilensis; Bacillus subtilis	6.00	0.00	6.00	11.80	40.00	45.08	0	0	0	0	N/A	N/A		339; 339; 339	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	protein homolog model	Resistomes & Variants	11	99.01 - 99.91	YES	NO	Bifidobacterium bifidum	501.00	0.00	501.00	25.71	855.36	141.95	0	0	0	0	N/A	N/A		3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
OXA-136	3001765	protein homolog model	Resistomes & Variants	1	98.88	NO	NO	Brachyspira pilosicoli	2.00	0.00	2.00	6.67	54.00	39.50	0	0	0	0	N/A	N/A		810	OXA beta-lactamase; OXA-63-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
SatA	3005045	protein homolog model	Resistomes & Variants	1	92.31	NO	NO	Bacillus thuringiensis	1.00	0.00	1.00	4.35	24.00	34.00	0	0	0	0	N/A	N/A		552	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
mdtG	3001329	protein homolog model	Resistomes & Variants	2	90.91 - 100.0	NO	NO	Citrobacter werkmanii; Escherichia coli	3.00	0.00	3.00	6.92	88.00	97.50	0	0	0	0	N/A	N/A		1221; 1281	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
emrB	3000074	protein homolog model	Resistomes & Variants	7	93.2 - 99.8	YES	NO	Citrobacter werkmanii; Citrobacter amalonaticus; Escherichia coli; Salmonella enterica; Enterobacter roggenkampii	11.00	0.00	11.00	2.70	41.86	47.05	0	0	0	0	N/A	N/A		1539; 1539; 1539; 1719; 1539; 1545; 1548	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
vanY gene in vanG cluster	3002959	protein homolog model	Resistomes & Variants	5	30.25 - 43.55	NO	NO	Bacillus halotolerans; Clostridium perfringens; Clostridium sporogenes; Enterocloster clostridioformis; Streptococcus mutans	11.00	0.00	11.00	11.37	95.60	75.62	0	0	0	0	N/A	N/A		882; 792; 756; 915; 750	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
FosBx1	3007372	protein homolog model	Resistomes & Variants	2	63.5	NO	NO	Bacillus velezensis; Bacillus amyloliquefaciens	5.00	0.00	5.00	5.04	34.00	45.34	0	0	0	0	N/A	N/A		675; 675	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
clbA	3002814	protein homolog model	Resistomes & Variants	2	92.55 - 97.13	YES	NO	Bacillus velezensis; Bacillus amyloliquefaciens	57.00	0.00	57.00	9.53	100.00	81.52	0	0	0	0	N/A	N/A		1050; 1050	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration
ErmF	3000498	protein homolog model	Resistomes & Variants	14	98.12 - 99.62	YES	NO	Bacteroides fragilis; Bacteroides ovatus; Bacteroides thetaiotaomicron; Parabacteroides distasonis; Prevotella bivia; Prevotella intermedia; Phocaeicola massiliensis; Phocaeicola vulgatus; Riemerella anatipestifer	1016.00	0.00	1016.00	35.42	339.93	137.44	0	0	0	0	N/A	N/A		1632; 801; 921; 840; 1452; 876; 876; 867; 873; 801; 1131; 801; 858; 615	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
Mef(En2)	3004659	protein homolog model	Resistomes & Variants	3	99.5	YES	NO	Phocaeicola vulgatus; Bacteroides caccae; Bacteroides fragilis; Phocaeicola massiliensis; Phocaeicola dorei; Bacteroides ovatus; Bacteroides thetaiotaomicron; Parabacteroides distasonis; Riemerella anatipestifer	919.00	0.00	919.00	81.15	978.67	187.76	0	0	0	0	N/A	N/A		1206; 1206; 1206	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; lincosamide antibiotic	antibiotic efflux
EreD	3004608	protein homolog model	Resistomes & Variants	1	95.34	YES	YES	Bacteroides fragilis; Bacteroides ovatus; Bacteroides thetaiotaomicron; Phocaeicola vulgatus; Elizabethkingia anophelis; Myroides odoratimimus; Myroides phaeus; Riemerella anatipestifer	108.00	0.00	108.00	100.00	1227.00	176.93	0	0	0	0	N/A	N/A		1227	macrolide esterase	macrolide antibiotic	antibiotic inactivation
vanX gene in vanA cluster	3002949	protein homolog model	Resistomes & Variants	1	90.59	NO	NO	Brevibacillus laterosporus	1.00	0.00	1.00	2.79	17.00	23.00	0	0	0	0	N/A	N/A		609	vanX; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanR gene in vanF cluster	3002925	protein homolog model	Resistomes & Variants	1	96.54	NO	NO	Brevibacillus laterosporus	9.00	0.00	9.00	34.20	238.00	116.11	0	0	0	0	N/A	N/A		696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
ErmX	3000596	protein homolog model	Resistomes & Variants	9	87.32 - 89.79	YES	NO	Bifidobacterium longum; Trueperella pyogenes	426.00	0.00	426.00	45.75	391.89	185.11	0	0	0	0	N/A	N/A		855; 855; 855; 855; 855; 855; 855; 855; 891	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
tet(O/M/O)	3007120	protein homolog model	Resistomes & Variants	1	99.69	NO	NO	Campylobacter coli	2.00	0.00	2.00	6.46	124.00	191.00	0	0	0	0	N/A	N/A		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
kdpE	3003841	protein homolog model	Resistomes & Variants	4	89.73 - 99.56	YES	NO	Citrobacter freundii; Escherichia coli	10.00	0.00	10.00	6.75	69.00	75.83	0	0	0	0	N/A	N/A		678; 1452; 729; 678	kdpDE	aminoglycoside antibiotic	antibiotic efflux
ArnT	3005053	protein homolog model	Resistomes & Variants	6	43.22 - 96.73	YES	NO	Citrobacter freundii; Escherichia coli; Pseudomonas fluorescens; Klebsiella quasipneumoniae	20.00	0.00	20.00	4.99	73.50	71.76	0	0	0	0	N/A	N/A		1659; 1653; 927; 1518; 1650; 1656	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
APH(2'')-IIa	3002635	protein homolog model	Resistomes & Variants	2	99.33	NO	YES	Citrobacter freundii; Klebsiella pneumoniae; Salmonella enterica; Enterobacter kobei	24.00	0.00	24.00	67.22	605.00	180.36	0	0	0	0	N/A	N/A		900; 900	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
CMY-70	3002083	protein homolog model	Resistomes & Variants	1	99.48	NO	NO	Citrobacter freundii	1.00	0.00	1.00	2.01	23.00	34.00	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephalosporin	antibiotic inactivation
aadS	3004683	protein homolog model	Resistomes & Variants	2	99.65 - 100.0	YES	YES	Chryseobacterium taklimakanense; Elizabethkingia anophelis; Myroides odoratimimus; Phocaeicola dorei; Phocaeicola vulgatus; Riemerella anatipestifer; Sphingobacterium hotanense	65.00	0.00	65.00	70.64	658.50	186.38	0	0	0	0	N/A	N/A		963; 864	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
nimJ	3007112	protein homolog model	Resistomes & Variants	2	55.83 - 62.2	YES	NO	Butyricimonas faecalis; Faecalibacterium prausnitzii	14.00	0.00	14.00	55.88	285.00	121.02	0	0	0	0	N/A	N/A		510; 510	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
vanH gene in vanD cluster	3002944	protein homolog model	Resistomes & Variants	2	35.44 - 99.69	YES	NO	Clostridium perfringens; Enterococcus faecium	4.00	0.00	4.00	14.99	146.50	120.75	0	0	0	0	N/A	N/A		999; 972	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	protein homolog model	Resistomes & Variants	3	100.0	NO	NO	Clostridium perfringens; Staphylococcus epidermidis; Staphylococcus aureus	78.00	0.00	78.00	53.54	1013.67	163.17	0	0	0	0	N/A	N/A		2058; 1743; 1488	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation
vmlR	3004476	protein homolog model	Resistomes & Variants	1	98.54	NO	NO	Bacillus subtilis	1.00	0.00	1.00	1.40	23.00	57.00	0	0	0	0	N/A	N/A		1647	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; antibiotic without defined classification; nucleoside antibiotic; pleuromutilin antibiotic	antibiotic target protection
amrA	3002982	protein homolog model	Resistomes & Variants	1	77.57	YES	NO	Burkholderia cenocepacia	2.00	0.00	2.00	7.76	92.00	50.50	0	0	0	0	N/A	N/A		1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic	antibiotic efflux
vanH gene in vanO cluster	3002948	protein homolog model	Resistomes & Variants	10	38.24 - 41.85	YES	NO	Dysosmobacter welbionis; Clostridium botulinum; Roseburia hominis; Faecalibacterium prausnitzii; Erysipelatoclostridium ramosum	86.00	0.00	86.00	36.95	367.40	165.63	0	0	0	0	N/A	N/A		996; 987; 984; 1002; 984; 996; 996; 996; 996; 993	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanW gene in vanB cluster	3002964	protein homolog model	Resistomes & Variants	2	34.8 - 34.94	YES	NO	Dysosmobacter welbionis	20.00	0.00	20.00	58.21	484.50	146.72	0	0	0	0	N/A	N/A		834; 831	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanXY gene in vanG cluster	3003069	protein homolog model	Resistomes & Variants	4	43.78 - 100.0	YES	NO	Dysosmobacter welbionis; Erysipelatoclostridium ramosum; Ruthenibacterium lactatiformans; Streptococcus suis	23.00	0.00	23.00	35.02	251.50	114.30	0	0	0	0	N/A	N/A		738; 753; 753; 393	glycopeptide resistance gene cluster; vanXY	glycopeptide antibiotic	antibiotic target alteration
CBP-1	3004764	protein homolog model	Resistomes & Variants	1	98.05	NO	NO	Clostridium botulinum	2.00	0.00	2.00	9.06	84.00	51.00	0	0	0	0	N/A	N/A		927	CBP beta-lactamase	penicillin beta-lactam	antibiotic inactivation
tet(36)	3000197	protein homolog model	Resistomes & Variants	1	33.06	NO	NO	Clostridium sporogenes	13.00	0.00	13.00	5.57	109.00	82.15	0	0	0	0	N/A	N/A		1956	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
lmrP	3003969	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Streptococcus pyogenes	1.00	0.00	1.00	1.56	19.00	34.00	0	0	0	0	N/A	N/A		1221	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; tetracycline antibiotic	antibiotic efflux
ErmB	3000375	protein homolog model	Resistomes & Variants	14	97.86 - 99.18	NO	NO	Streptococcus pyogenes; Faecalibacterium prausnitzii; Streptococcus gallolyticus; Enterococcus faecium; Ruthenibacterium lactatiformans; Streptococcus suis; Enterococcus faecalis; Streptococcus pneumoniae	1809.00	0.00	1809.00	54.35	427.64	158.72	0	0	0	0	N/A	N/A		738; 738; 810; 783; 807; 747; 762; 762; 792; 738; 738; 795; 855; 738	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
tet(T)	3000193	protein homolog model	Resistomes & Variants	1	99.69	YES	NO	Streptococcus dysgalactiae; Streptococcus pyogenes	7.00	0.00	7.00	8.95	175.00	56.43	0	0	0	0	N/A	N/A		1956	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
