ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
vanW gene in vanI cluster	3003724	protein homolog model	Resistomes & Variants	38	24.23 - 46.09	YES	NO	Anaerostipes hadrus; Bacillus cereus; Clostridium tetani; Clostridium perfringens; Bacillus pumilus; Dysosmobacter welbionis; Clostridium botulinum; Clostridium sporogenes; Roseburia hominis; Paeniclostridium sordellii; Peptacetobacter hiranonis; Eggerthella lenta; Erysipelatoclostridium ramosum; Peptoniphilus harei	503.00	0.00	503.00	21.53	309.00	112.64	0	0	0	0	N/A	N/A		1497; 1497; 1470; 1497; 1497; 768; 1527; 1263; 1386; 1248; 1563; 1563; 1563; 1590; 1563; 1545; 1263; 966; 1899; 1563; 1572; 1560; 1563; 1539; 1677; 1596; 948; 927; 1596; 1419; 1074; 1224; 1224; 1488; 1416; 2217; 1629; 1461	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanY gene in vanB cluster	3002956	protein homolog model	Resistomes & Variants	90	28.06 - 92.91	YES	NO	Anaerostipes hadrus; Bacillus cereus; Bacillus thuringiensis; Bacillus velezensis; Clostridium perfringens; Dysosmobacter welbionis; Clostridium botulinum; Clostridium sporogenes; Roseburia hominis; Paeniclostridium sordellii; Streptococcus anginosus; Faecalibacterium prausnitzii; Enterococcus gilvus; Enterococcus hirae; Erysipelatoclostridium ramosum; Enterocloster clostridioformis; Enterococcus faecium; Ruthenibacterium lactatiformans; Macrococcus canis; Moraxella catarrhalis; Streptococcus lutetiensis; Staphylococcus epidermidis; Lactococcus garvieae; Streptococcus uberis; Streptococcus pneumoniae; Streptococcus agalactiae	914.00	0.00	914.00	29.13	235.40	134.69	0	0	0	0	N/A	N/A		492; 492; 579; 684; 684; 756; 708; 780; 309; 780; 648; 780; 819; 792; 855; 813; 717; 699; 699; 717; 744; 759; 726; 726; 705; 705; 705; 3981; 3612; 831; 921; 822; 813; 891; 882; 813; 822; 891; 813; 882; 822; 855; 819; 891; 891; 813; 882; 921; 891; 891; 813; 819; 891; 813; 891; 921; 921; 822; 819; 786; 828; 921; 930; 786; 813; 921; 813; 891; 921; 876; 921; 831; 813; 750; 822; 1248; 723; 705; 963; 861; 2505; 684; 996; 777; 777; 765; 786; 747; 936; 753	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanT gene in vanG cluster	3002972	protein homolog model	Resistomes & Variants	129	29.85 - 99.86	YES	NO	Anaerostipes hadrus; Alloiococcus otitis; Alistipes putredinis; Bacillus cereus; Borreliella garinii; Campylobacter ureolyticus; Borrelia hermsii; Brachyspira pilosicoli; Bacillus velezensis; Bacteroides ovatus; Brevibacillus laterosporus; Bacteroides thetaiotaomicron; Clostridium tetani; Clostridium septicum; Clostridium perfringens; Bacteroides caccae; Borreliella afzelii; Bacillus pumilus; Bacillus subtilis; Dysosmobacter welbionis; Clostridium botulinum; Clostridium sporogenes; Collinsella aerofaciens; Bacteroides fragilis; Lactobacillus gasseri; Roseburia hominis; Phocaeicola vulgatus; Streptococcus anginosus; Faecalibacterium prausnitzii; Prevotella intermedia; Streptococcus sobrinus; Erysipelatoclostridium ramosum; Enterocloster clostridioformis; Staphylococcus pasteuri; Prevotella bivia; Macrococcus canis; Parabacteroides distasonis; Eubacterium maltosivorans; Phocaeicola dorei; Fusobacterium nucleatum; Streptococcus lutetiensis; Fusobacterium necrophorum; Parvimonas micra; Streptococcus suis; Massilistercora timonensis; Streptococcus gordonii; Gordonibacter urolithinfaciens; Enterococcus faecalis; Streptococcus agalactiae; Streptococcus mutans	1525.00	0.00	1525.00	26.20	393.94	137.37	0	0	0	0	N/A	N/A		1164; 1164; 1164; 1164; 1164; 1119; 2373; 1170; 1227; 1101; 1101; 1131; 1101; 1107; 1170; 2541; 2541; 2541; 2541; 2541; 2493; 2493; 2541; 2493; 2541; 2541; 1299; 2550; 2550; 1164; 2550; 1158; 1161; 2493; 2493; 2493; 1101; 1182; 1212; 1170; 984; 1167; 1137; 1215; 1215; 1215; 1161; 1146; 1146; 1146; 1146; 1146; 1146; 1146; 1146; 1146; 2547; 2496; 2547; 2547; 1170; 1215; 1131; 1131; 1131; 1131; 1170; 2466; 1107; 1203; 1203; 1203; 1206; 1200; 1203; 1197; 1197; 1206; 1203; 1203; 1203; 1197; 1197; 1206; 1203; 1197; 1203; 1197; 1203; 1203; 1197; 1197; 1203; 1206; 1200; 1197; 1206; 1203; 1206; 1206; 2481; 2481; 1104; 1074; 1176; 1149; 2481; 1143; 1143; 2466; 2466; 2466; 1200; 2466; 2466; 1065; 1107; 1107; 1065; 1182; 2139; 1170; 1107; 1527; 1116; 1116; 1116; 2139; 1116	glycopeptide resistance gene cluster; vanT	glycopeptide antibiotic	antibiotic target alteration
tet(45)	3003196	protein homolog model	Resistomes & Variants	12	61.82 - 91.05	YES	YES	Actinobacillus pleuropneumoniae; Bacillus cereus; Bacillus thuringiensis; Bacillus tequilensis; Enterococcus faecium; Streptococcus suis; Enterococcus faecalis; Staphylococcus aureus	225.00	0.00	225.00	28.89	411.83	154.33	0	0	0	0	N/A	N/A		1401; 1377; 1377; 1377; 1392; 1404; 1857; 1374; 1131; 1383; 1377; 1380	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanG	3002909	protein homolog model	Resistomes & Variants	45	37.33 - 99.71	YES	NO	Anaerostipes hadrus; Dysosmobacter welbionis; Paeniclostridium sordellii; Escherichia coli; Proteus vulgaris; Faecalibacterium prausnitzii; Ruthenibacterium lactatiformans; Proteus mirabilis; Streptococcus suis; Providencia rettgeri; Streptococcus agalactiae	526.00	0.00	526.00	33.98	370.84	147.29	0	0	0	0	N/A	N/A		1062; 1062; 1062; 1062; 1062; 1047; 1065; 1065; 1068; 1104; 1098; 1095; 1152; 1101; 1092; 1092; 1092; 1101; 1098; 1098; 1095; 1101; 1098; 1095; 1101; 1098; 1095; 1101; 1101; 1092; 1098; 1098; 1095; 1098; 1101; 1098; 1092; 1155; 1152; 1044; 1101; 1101; 1071; 1104; 1050	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
tet(O)	3000190	protein homolog model	Resistomes & Variants	40	87.62 - 99.53	YES	YES	Anaerostipes hadrus; Blautia producta; Campylobacter coli; Enterocloster clostridioformis; Enterococcus faecalis; Enterococcus faecium; Roseburia hominis; Streptococcus agalactiae; Streptococcus anginosus; Streptococcus equi; Streptococcus intermedius; Streptococcus mitis; Streptococcus pneumoniae; Streptococcus pseudopneumoniae; Streptococcus pyogenes; Streptococcus sanguinis; Streptococcus suis; Campylobacter jejuni; Bifidobacterium breve; Erysipelatoclostridium ramosum; Ruthenibacterium lactatiformans; Streptococcus constellatus; Streptococcus dysgalactiae; Streptococcus gordonii; Faecalibacterium prausnitzii; Enterococcus hirae; Gordonibacter urolithinfaciens	2836.00	0.00	2836.00	37.95	701.10	181.83	0	0	0	0	N/A	N/A		1920; 1920; 1920; 1920; 1920; 1920; 1920; 930; 1746; 1920; 1920; 1920; 777; 1467; 1920; 1920; 1920; 930; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1932; 2007; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
lnuC	3002837	protein homolog model	Resistomes & Variants	3	89.63 - 98.17	NO	NO	Anaerostipes hadrus; Streptococcus dysgalactiae; Lactobacillus crispatus; Streptococcus agalactiae	232.00	0.00	232.00	71.25	391.67	172.11	0	0	0	0	N/A	N/A		543; 495; 564	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
tet(40)	3000567	protein homolog model	Resistomes & Variants	9	96.8 - 99.51	YES	NO	Anaerostipes hadrus; Roseburia hominis; Faecalibacterium prausnitzii; Enterocloster clostridioformis; Clostridioides difficile; Streptococcus suis	513.00	0.00	513.00	57.30	701.89	182.13	0	0	0	0	N/A	N/A		1221; 1254; 1221; 1239; 1221; 1221; 1221; 1221; 1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
qacG	3007015	protein homolog model	Resistomes & Variants	17	35.58 - 67.14	YES	NO	Actinobacillus porcitonsillarum; Alistipes putredinis; Bacteroides fragilis; Bacteroides ovatus; Bacteroides thetaiotaomicron; Phocaeicola vulgatus; Achromobacter xylosoxidans; Parabacteroides distasonis; Phocaeicola massiliensis; Burkholderia cenocepacia; Pseudomonas stutzeri; Klebsiella aerogenes; Klebsiella pneumoniae; Streptococcus sanguinis; Staphylococcus haemolyticus; Rhizobium leguminosarum; Stenotrophomonas maltophilia; Haemophilus parainfluenzae; Rhodopseudomonas palustris; Staphylococcus arlettae	501.00	0.00	501.00	25.70	98.71	106.94	0	0	0	0	N/A	N/A		333; 333; 330; 336; 339; 333; 330; 1314; 330; 327; 504; 342; 333; 330; 330; 330; 342	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
OXA-651	3005867	protein homolog model	Resistomes & Variants	1	98.54	YES	NO	Acinetobacter johnsonii	1.00	0.00	1.00	3.03	25.00	34.00	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
tet(A)	3000165	protein homolog model	Resistomes & Variants	4	98.73 - 100.0	YES	YES	Acinetobacter baumannii; Aeromonas caviae; Alcaligenes faecalis; Escherichia coli; Klebsiella pneumoniae; Proteus mirabilis; Pseudomonas putida; Vibrio alginolyticus; Vibrio cholerae; Vibrio fluvialis; Vibrio parahaemolyticus	51.00	0.00	51.00	41.53	547.25	179.74	0	0	0	0	N/A	N/A		1275; 1566; 1275; 1368	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAC(6')-Ib8	3002579	protein homolog model	Resistomes & Variants	1	97.96	NO	NO	Aeromonas caviae	4.00	0.00	4.00	6.64	46.00	56.00	0	0	0	0	N/A	N/A		693	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
APH(3')-VIa	3002652	protein homolog model	Resistomes & Variants	1	98.07	NO	YES	Acinetobacter indicus	1.00	0.00	1.00	3.72	29.00	34.00	0	0	0	0	N/A	N/A		780	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
adeF	3000777	protein homolog model	Resistomes & Variants	87	40.73 - 82.25	YES	YES	Aeromonas enteropelogenes; Alistipes putredinis; Aeromonas veronii; Bordetella bronchiseptica; Bacteroides ovatus; Bacteroides thetaiotaomicron; Citrobacter amalonaticus; Citrobacter freundii; Enterobacter cloacae; Enterobacter asburiae; Enterobacter hormaechei; Enterobacter chengduensis; Enterobacter kobei; Klebsiella michiganensis; Leclercia adecarboxylata; Butyricimonas faecalis; Bacteroides caccae; Cronobacter universalis; Bacteroides fragilis; Phocaeicola massiliensis; Phocaeicola vulgatus; Methylorubrum populi; Klebsiella aerogenes; Klebsiella pneumoniae; Elizabethkingia miricola; Xanthomonas campestris; Enterobacter roggenkampii; Pseudomonas monteilii; Pseudomonas chlororaphis; Parabacteroides distasonis; Phocaeicola dorei; Pseudomonas mendocina; Stenotrophomonas maltophilia; Ralstonia solanacearum; Laribacter hongkongensis	922.00	0.00	922.00	19.43	616.67	150.20	0	0	0	0	N/A	N/A		3105; 3099; 3099; 3099; 3099; 3111; 3150; 3186; 3150; 3150; 3105; 3105; 3105; 3105; 3150; 3105; 3105; 3150; 3150; 3150; 3105; 3105; 3150; 3105; 3150; 3105; 3150; 3105; 3147; 3105; 3258; 3105; 3105; 3174; 3099; 3126; 3105; 3147; 3147; 3105; 3150; 3180; 3123; 3123; 3147; 3180; 3180; 3180; 3237; 3117; 3099; 3099; 3117; 3102; 3117; 3102; 3117; 3117; 3225; 3192; 3153; 2910; 3114; 3336; 3147; 3114; 3117; 3123; 3144; 3147; 3153; 3129; 3114; 3180; 4485; 4485; 4485; 3138; 3165; 3138; 3117; 3102; 3117; 3135; 3126; 3162; 3159	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
vanH gene in vanB cluster	3002943	protein homolog model	Resistomes & Variants	1	35.99	NO	NO	Alistipes putredinis	7.00	0.00	7.00	63.05	628.00	166.86	0	0	0	0	N/A	N/A		996	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
Acinetobacter baumannii AmvA	3004577	protein homolog model	Resistomes & Variants	1	92.89	NO	NO	Acinetobacter calcoaceticus	1.00	0.00	1.00	1.22	18.00	34.00	0	0	0	0	N/A	N/A		1479	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; disinfecting agents and antiseptics	antibiotic efflux
qacJ	3007014	protein homolog model	Resistomes & Variants	23	35.58 - 71.03	YES	YES	Acinetobacter lwoffii; Bacillus thuringiensis; Bacillus amyloliquefaciens; Bacillus velezensis; Bordetella petrii; Pseudomonas stutzeri; Escherichia coli; Klebsiella pneumoniae; Proteus vulgaris; Gemella haemolysans; Streptococcus agalactiae; Streptococcus anginosus; Streptococcus gordonii; Streptococcus mitis; Streptococcus pseudopneumoniae; Salmonella enterica; Klebsiella oxytoca; Enterococcus faecalis; Enterococcus faecium; Macrococcus canis; Providencia rettgeri; Staphylococcus aureus	129.00	0.00	129.00	29.70	98.87	91.58	0	0	0	0	N/A	N/A		330; 363; 384; 330; 333; 312; 408; 249; 249; 327; 327; 327; 327; 252; 330; 324; 324; 324; 333; 285; 306; 480; 447	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
tet(X)	3000205	protein homolog model	Resistomes & Variants	2	99.48 - 99.74	YES	YES	Acinetobacter pittii; Bacteroides ovatus; Bacteroides thetaiotaomicron; Chryseobacterium taklimakanense; Elizabethkingia anophelis; Myroides odoratimimus; Myroides phaeus; Phocaeicola dorei; Phocaeicola vulgatus; Bacteroides fragilis; Parabacteroides distasonis; Phocaeicola massiliensis; Sphingobacterium hotanense	57.00	0.00	57.00	59.30	692.00	182.27	0	0	0	0	N/A	N/A		1167; 1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
LpsB	3005051	protein homolog model	Resistomes & Variants	1	95.63	NO	NO	Acinetobacter pittii	1.00	0.00	1.00	2.36	26.00	46.00	0	0	0	0	N/A	N/A		1101	Intrinsic peptide antibiotic resistant Lps	peptide antibiotic	reduced permeability to antibiotic
abeS	3000768	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Acinetobacter baumannii	1.00	0.00	1.00	5.15	17.00	23.00	0	0	0	0	N/A	N/A		330	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminocoumarin antibiotic	antibiotic efflux
adeN	3000559	protein homolog model	Resistomes & Variants	2	98.62 - 99.06	NO	NO	Acinetobacter baumannii	2.00	0.00	2.00	4.08	27.00	45.50	0	0	0	0	N/A	N/A		669; 654	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
OXA-72	3001705	protein homolog model	Resistomes & Variants	1	94.18	NO	NO	Acinetobacter baumannii	17.00	0.00	17.00	7.49	62.00	55.41	0	0	0	0	N/A	N/A		828	OXA beta-lactamase; OXA-24-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
ADC-2	3003848	protein homolog model	Resistomes & Variants	1	99.74	NO	NO	Acinetobacter baumannii	9.00	0.00	9.00	6.86	80.00	57.67	0	0	0	0	N/A	N/A		1167	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
mphE	3003741	protein homolog model	Resistomes & Variants	2	96.38 - 100.0	YES	NO	Acinetobacter baumannii; Klebsiella pneumoniae	6.00	0.00	6.00	10.25	96.50	112.30	0	0	0	0	N/A	N/A		948; 909	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
ANT(3'')-IIc	3004091	protein homolog model	Resistomes & Variants	1	80.93	NO	NO	Acinetobacter baumannii	2.00	0.00	2.00	10.22	80.00	50.50	0	0	0	0	N/A	N/A		783	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-68	3001616	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Acinetobacter baumannii	1.00	0.00	1.00	2.98	23.00	34.00	0	0	0	0	N/A	N/A		771	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
vanY gene in vanF cluster	3002958	protein homolog model	Resistomes & Variants	11	29.3 - 75.0	YES	NO	Bacillus cereus; Brevibacillus laterosporus; Faecalibacterium prausnitzii	55.00	0.00	55.00	31.40	241.09	146.74	0	0	0	0	N/A	N/A		291; 246; 813; 813; 813; 807; 807; 813; 813; 807; 813	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
BcI	3002877	protein homolog model	Resistomes & Variants	3	85.95 - 96.98	NO	NO	Bacillus cereus	12.00	0.00	12.00	3.71	35.33	58.94	0	0	0	0	N/A	N/A		930; 1014; 951	class A Bacillus cereus Bc beta-lactamase	cephalosporin	antibiotic inactivation
BcIII	3007101	protein homolog model	Resistomes & Variants	5	75.32 - 87.97	NO	NO	Bacillus cereus; Bacillus thuringiensis	12.00	0.00	12.00	6.14	58.40	61.90	0	0	0	0	N/A	N/A		951; 951; 945; 969; 969	class A Bacillus cereus Bc beta-lactamase	cephalosporin	antibiotic inactivation
BcII	3002878	protein homolog model	Resistomes & Variants	2	89.41 - 95.31	NO	NO	Bacillus cereus	5.00	0.00	5.00	3.95	30.50	45.00	0	0	0	0	N/A	N/A		771; 774	subclass B1 Bacillus cereus Bc beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
FosB	3000172	protein homolog model	Resistomes & Variants	1	98.55	NO	NO	Bacillus cereus; Bacillus thuringiensis	1.00	0.00	1.00	7.67	32.00	46.00	0	0	0	0	N/A	N/A		417	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
vanY gene in vanM cluster	3002961	protein homolog model	Resistomes & Variants	15	28.57 - 41.18	YES	NO	Bacillus cereus; Borrelia crocidurae; Burkholderia multivorans; Streptococcus mitis; Faecalibacterium prausnitzii; Streptococcus sanguinis; Treponema denticola; Staphylococcus equorum; Streptococcus pneumoniae; Staphylococcus arlettae	59.00	0.00	59.00	13.01	102.40	82.33	0	0	0	0	N/A	N/A		507; 732; 807; 663; 717; 807; 807; 822; 795; 801; 615; 939; 663; 816; 678	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanW gene in vanG cluster	3002965	protein homolog model	Resistomes & Variants	7	27.61 - 88.16	YES	NO	Bacillus cereus; Streptococcus mitis; Proteus penneri; Treponema denticola; Pseudomonas fluorescens; Providencia rettgeri; Streptococcus agalactiae	39.00	0.00	39.00	14.18	109.43	79.45	0	0	0	0	N/A	N/A		870; 837; 567; 1338; 609; 816; 741	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
mdeA	3007011	protein homolog model	Resistomes & Variants	7	38.46 - 99.56	YES	NO	Bacillus cereus; Bacillus thuringiensis; Staphylococcus hominis; Staphylococcus warneri; Staphylococcus epidermidis; Streptococcus mutans	27.00	0.00	27.00	5.65	77.14	67.39	0	0	0	0	N/A	N/A		1392; 1395; 1158; 1380; 1371; 1362; 1362	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic; penicillin beta-lactam; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
vanY gene in vanG cluster	3002959	protein homolog model	Resistomes & Variants	7	29.69 - 40.1	NO	NO	Bacillus cereus; Bacillus subtilis; Staphylococcus hominis; Ruthenibacterium lactatiformans; Lactococcus garvieae; Streptococcus mutans	64.00	0.00	64.00	16.72	131.86	86.70	0	0	0	0	N/A	N/A		777; 822; 690; 681; 897; 786; 750	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
APH(2'')-If	3004191	protein homolog model	Resistomes & Variants	4	90.24 - 99.66	NO	YES	Campylobacter jejuni; Campylobacter coli	16.00	0.00	16.00	7.09	74.75	88.93	0	0	0	0	N/A	N/A		894; 1455; 891; 891	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
OXA-465	3003621	protein homolog model	Resistomes & Variants	1	99.59	YES	NO	Campylobacter jejuni	23.00	0.00	23.00	13.46	105.00	93.43	0	0	0	0	N/A	N/A		780	OXA beta-lactamase; OXA-184-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
fexA	3002704	protein homolog model	Resistomes & Variants	2	98.53 - 99.16	NO	YES	Campylobacter jejuni; Staphylococcus aureus	25.00	0.00	25.00	30.88	457.00	113.60	0	0	0	0	N/A	N/A		1476; 1482	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
OXA-193	3001478	protein homolog model	Resistomes & Variants	1	99.61	NO	NO	Campylobacter jejuni	3.00	0.00	3.00	10.21	79.00	63.67	0	0	0	0	N/A	N/A		774	OXA beta-lactamase; OXA-61-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
ErmX	3000596	protein homolog model	Resistomes & Variants	7	87.32 - 90.14	YES	NO	Bifidobacterium bifidum; Bifidobacterium longum; Bifidobacterium breve; Corynebacterium jeikeium; Corynebacterium urealyticum; Trueperella pyogenes	39.00	0.00	39.00	34.16	293.29	178.60	0	0	0	0	N/A	N/A		855; 855; 855; 855; 855; 855; 891	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
cmx	3002703	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Corynebacterium urealyticum	3.00	0.00	3.00	25.43	299.00	141.00	0	0	0	0	N/A	N/A		1176	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
msr(I)	3007043	protein homolog model	Resistomes & Variants	1	67.22	NO	YES	Bacillus anthracis	13.00	0.00	13.00	11.16	162.00	81.69	0	0	0	0	N/A	N/A		1452	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic; phosphonic acid antibiotic	antibiotic target protection
mphM	3003767	protein homolog model	Resistomes & Variants	1	87.58	NO	NO	Bacillus anthracis	7.00	0.00	7.00	6.00	54.00	52.86	0	0	0	0	N/A	N/A		900	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
emrB	3000074	protein homolog model	Resistomes & Variants	18	92.23 - 100.0	YES	NO	Cronobacter sakazakii; Citrobacter freundii; Citrobacter portucalensis; Citrobacter amalonaticus; Enterobacter cloacae; Escherichia coli; Salmonella enterica; Enterobacter roggenkampii; Escherichia fergusonii	76.00	0.00	76.00	11.15	173.17	94.99	0	0	0	0	N/A	N/A		1539; 1539; 1539; 1539; 1539; 1539; 1548; 1548; 1539; 1560; 1539; 1719; 1548; 1539; 1539; 1554; 1548; 1539	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	protein homolog model	Resistomes & Variants	6	99.19 - 99.64	NO	NO	Bifidobacterium bifidum	74.00	0.00	74.00	18.48	614.67	142.78	0	0	0	0	N/A	N/A		3327; 3327; 3327; 3327; 3327; 3327	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
vanY gene in vanA cluster	3002955	protein homolog model	Resistomes & Variants	5	37.34 - 71.53	YES	YES	Bacillus thuringiensis; Macrococcus canis	34.00	0.00	34.00	23.25	137.60	91.61	0	0	0	0	N/A	N/A		456; 243; 651; 651; 651	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
Escherichia coli mdfA	3001328	protein homolog model	Resistomes & Variants	10	88.54 - 97.07	YES	NO	Citrobacter werkmanii; Citrobacter amalonaticus; Escherichia coli	30.00	0.00	30.00	16.75	215.70	150.98	0	0	0	0	N/A	N/A		1233; 1233; 1233; 1233; 1233; 1206; 1233; 1233; 1239; 1437	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
kdpE	3003841	protein homolog model	Resistomes & Variants	15	89.73 - 99.56	YES	NO	Citrobacter werkmanii; Citrobacter freundii; Escherichia coli; Salmonella enterica	208.00	0.00	208.00	25.54	223.87	126.58	0	0	0	0	N/A	N/A		678; 678; 1452; 858; 711; 684; 798; 678; 957; 786; 786; 705; 657; 678; 693	kdpDE	aminoglycoside antibiotic	antibiotic efflux
leuO	3003843	protein homolog model	Resistomes & Variants	11	81.53 - 99.04	YES	NO	Citrobacter werkmanii; Citrobacter freundii; Citrobacter amalonaticus; Enterobacter cloacae; Enterobacter asburiae; Escherichia coli; Klebsiella pneumoniae; Klebsiella quasipneumoniae	47.00	0.00	47.00	17.70	183.36	115.88	0	0	0	0	N/A	N/A		948; 1164; 951; 963; 945; 1122; 1068; 969; 969; 951; 969	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
CMY-34	3002045	protein homolog model	Resistomes & Variants	1	92.39	NO	NO	Citrobacter werkmanii	1.00	0.00	1.00	1.75	20.00	34.00	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephalosporin	antibiotic inactivation
rsmA	3005069	protein homolog model	Resistomes & Variants	5	83.61 - 92.73	YES	NO	Citrobacter koseri; Escherichia coli; Klebsiella pneumoniae	11.00	0.00	11.00	51.97	100.60	172.47	0	0	0	0	N/A	N/A		186; 186; 192; 186; 213	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
mdtC	3000794	protein homolog model	Resistomes & Variants	12	92.29 - 99.8	YES	NO	Citrobacter koseri; Citrobacter freundii; Escherichia coli; Enterobacter hormaechei; Enterobacter cancerogenus	52.00	0.00	52.00	11.10	406.58	163.67	0	0	0	0	N/A	N/A		3087; 4491; 6201; 3078; 3078; 3078; 3078; 3078; 3078; 3078; 3078; 3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
mdtB	3000793	protein homolog model	Resistomes & Variants	11	93.08 - 99.9	YES	NO	Citrobacter koseri; Citrobacter portucalensis; Citrobacter amalonaticus; Escherichia coli	42.00	0.00	42.00	10.68	355.27	155.58	0	0	0	0	N/A	N/A		3123; 3123; 3123; 3123; 3123; 3123; 3123; 4491; 4371; 3123; 3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
