ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
vanW gene in vanI cluster	3003724	protein homolog model	Resistomes & Variants	59	23.96 - 46.88	YES	NO	Anaerostipes hadrus; Actinomyces viscosus; Bacillus cereus; Brevibacillus laterosporus; Clostridium perfringens; Clostridium botulinum; Clostridium sporogenes; Paeniclostridium sordellii; Peptacetobacter hiranonis; Vibrio vulnificus; Eggerthella lenta; Erysipelatoclostridium ramosum; Enterocloster clostridioformis; Parvimonas micra; Peptoniphilus harei; Herbinix luporum	553.00	0.00	553.00	25.17	380.00	134.44	0	0	0	0	N/A	N/A		1527; 1497; 1497; 1497; 1497; 1497; 1497; 1497; 1497; 1527; 768; 2739; 2823; 1263; 1296; 1299; 912; 945; 1263; 1545; 1563; 1563; 1563; 1263; 1263; 1287; 1563; 1563; 1590; 1341; 1353; 1563; 1572; 1590; 1563; 1281; 1419; 1281; 1224; 1224; 1224; 1281; 1416; 1476; 438; 2217; 2217; 1629; 1629; 1629; 1518; 1653; 1557; 1584; 1584; 1830; 1401; 1497; 1557	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
tet(O)	3000190	protein homolog model	Resistomes & Variants	40	87.62 - 99.53	YES	YES	Actinobacillus pleuropneumoniae; Streptococcus agalactiae; Streptococcus suis; Anaerostipes hadrus; Blautia producta; Campylobacter coli; Enterocloster clostridioformis; Enterococcus faecalis; Enterococcus faecium; Roseburia hominis; Streptococcus anginosus; Streptococcus equi; Streptococcus intermedius; Streptococcus mitis; Streptococcus pneumoniae; Streptococcus pseudopneumoniae; Streptococcus pyogenes; Streptococcus sanguinis; Campylobacter jejuni; Bifidobacterium breve; Erysipelatoclostridium ramosum; Ruthenibacterium lactatiformans; Streptococcus constellatus; Streptococcus dysgalactiae; Streptococcus gordonii; Faecalibacterium prausnitzii; Enterococcus hirae; Gordonibacter urolithinfaciens	3975.00	0.00	3975.00	32.79	603.75	175.57	0	0	0	0	N/A	N/A		1920; 1920; 1920; 873; 1746; 930; 1920; 777; 1920; 1467; 1920; 1920; 1920; 930; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 1920; 2007; 1920; 1932; 1920; 1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
vanT gene in vanG cluster	3002972	protein homolog model	Resistomes & Variants	85	29.59 - 48.11	YES	NO	Anaerostipes hadrus; Bacillus cereus; Bacillus thuringiensis; Borreliella garinii; Borrelia hermsii; Borrelia miyamotoi; Bacillus halotolerans; Bacteroides ovatus; Brevibacillus laterosporus; Bacteroides thetaiotaomicron; Blautia producta; Clostridium perfringens; Bacteroides caccae; Bacillus subtilis; Clostridium botulinum; Cryptobacterium curtum; Clostridium butyricum; Paeniclostridium sordellii; Providencia alcalifaciens; Phocaeicola massiliensis; Phocaeicola vulgatus; Streptococcus anginosus; Streptococcus mitis; Faecalibacterium prausnitzii; Streptococcus sanguinis; Streptococcus gallolyticus; Streptococcus pasteurianus; Streptococcus sobrinus; Erysipelatoclostridium ramosum; Pseudoleptotrichia goodfellowii; Enterocloster clostridioformis; Parabacteroides distasonis; Fusobacterium nucleatum; Parvimonas micra; Providencia stuartii; Streptococcus uberis; Streptococcus gordonii; Gordonibacter urolithinfaciens	3555.00	0.00	3555.00	31.29	449.85	141.43	0	0	0	0	N/A	N/A		1164; 1164; 1164; 1164; 1164; 1164; 1227; 1227; 1245; 1101; 1101; 1101; 1101; 1170; 1182; 2541; 2541; 2541; 2541; 2541; 2541; 1299; 2550; 2550; 2550; 1206; 1206; 1206; 1161; 1161; 1161; 1161; 1161; 2493; 1170; 1170; 1161; 1266; 1167; 1167; 1164; 1164; 1164; 1164; 1092; 1083; 2466; 2466; 2466; 1107; 1107; 1107; 1104; 1197; 1197; 1197; 1197; 1197; 1197; 1197; 1197; 1197; 1107; 1107; 1104; 1131; 1074; 1065; 1074; 1074; 1131; 1065; 1092; 1176; 1191; 1191; 2466; 2466; 1065; 1182; 1083; 1107; 1107; 1527; 1389	glycopeptide resistance gene cluster; vanT	glycopeptide antibiotic	antibiotic target alteration
cphA2	3003099	protein homolog model	Resistomes & Variants	1	98.03	NO	NO	Aeromonas hydrophila	1.00	0.00	1.00	2.88	22.00	34.00	0	0	0	0	N/A	N/A		765	CphA beta-lactamase	carbapenem	antibiotic inactivation
OXA-58	3001611	protein homolog model	Resistomes & Variants	1	100.0	NO	YES	Acinetobacter baumannii; Acinetobacter lwoffii; Acinetobacter nosocomialis; Acinetobacter pittii	4.00	0.00	4.00	2.02	17.00	23.00	0	0	0	0	N/A	N/A		843	OXA beta-lactamase; OXA-58-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
tet(C)	3000167	protein homolog model	Resistomes & Variants	3	76.37 - 99.75	YES	YES	Aeromonas hydrophila; Chlamydia suis; Comamonas testosteroni; Cronobacter dublinensis; Enterobacter asburiae; Enterobacter cloacae; Enterobacter hormaechei; Enterobacter kobei; Escherichia coli; Klebsiella aerogenes; Klebsiella pneumoniae; Klebsiella quasipneumoniae; Pasteurella multocida; Pseudomonas aeruginosa; Salmonella enterica; Stenotrophomonas maltophilia; Chlamydia trachomatis	9.00	0.00	9.00	20.57	271.00	189.43	0	0	0	0	N/A	N/A		1191; 1191; 3471	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
adeR	3000553	protein homolog model	Resistomes & Variants	1	97.56	YES	NO	Acinetobacter nosocomialis	1.00	0.00	1.00	2.28	17.00	23.00	0	0	0	0	N/A	N/A		744	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
Acinetobacter baumannii AmvA	3004577	protein homolog model	Resistomes & Variants	2	95.12 - 98.37	NO	NO	Acinetobacter calcoaceticus; Acinetobacter baumannii	65.00	0.00	65.00	3.00	45.00	50.99	0	0	0	0	N/A	N/A		1479; 1509	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; disinfecting agents and antiseptics	antibiotic efflux
OXA-464	3003620	protein homolog model	Resistomes & Variants	1	98.42	NO	NO	Aliarcobacter butzleri	11.00	0.00	11.00	38.32	292.00	58.09	0	0	0	0	N/A	N/A		762	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation
Acinetobacter baumannii AbaQ	3004574	protein homolog model	Resistomes & Variants	2	73.52 - 98.85	NO	NO	Acinetobacter pittii; Pseudomonas fluorescens	14.00	0.00	14.00	3.64	48.00	50.88	0	0	0	0	N/A	N/A		1305; 1323	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ADC-150	3006324	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Acinetobacter pittii	3.00	0.00	3.00	2.95	34.00	45.00	0	0	0	0	N/A	N/A		1152	ADC beta-lactamases pending classification for carbapenemase activity	cephalosporin	antibiotic inactivation
tet(X)	3000205	protein homolog model	Resistomes & Variants	4	96.39 - 99.74	YES	YES	Acinetobacter pittii; Bacteroides ovatus; Bacteroides thetaiotaomicron; Chryseobacterium taklimakanense; Elizabethkingia anophelis; Myroides odoratimimus; Myroides phaeus; Phocaeicola dorei; Phocaeicola vulgatus; Bacteroides fragilis; Parabacteroides distasonis; Phocaeicola massiliensis; Sphingobacterium hotanense; Riemerella anatipestifer	1702.00	0.00	1702.00	67.01	782.00	186.33	0	0	0	0	N/A	N/A		1167; 1167; 1167; 1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
ADC-18	3003862	protein homolog model	Resistomes & Variants	1	99.48	NO	NO	Acinetobacter pittii	4.00	0.00	4.00	5.03	58.00	51.00	0	0	0	0	N/A	N/A		1152	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
ADC-2	3003848	protein homolog model	Resistomes & Variants	1	99.74	NO	NO	Acinetobacter baumannii	41.00	0.00	41.00	6.94	81.00	67.20	0	0	0	0	N/A	N/A		1167	ADC beta-lactamase without carbapenemase activity	cephalosporin	antibiotic inactivation
armA	3000858	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Acinetobacter baumannii	5.00	0.00	5.00	32.36	265.00	88.40	0	0	0	0	N/A	N/A		819	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
TMB-1	3004105	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Acinetobacter baumannii	68.00	0.00	68.00	8.40	62.00	67.04	0	0	0	0	N/A	N/A		738	TMB beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation
mphE	3003741	protein homolog model	Resistomes & Variants	1	96.38	YES	NO	Acinetobacter baumannii	9.00	0.00	9.00	16.88	160.00	188.22	0	0	0	0	N/A	N/A		948	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
BcIII	3007101	protein homolog model	Resistomes & Variants	5	71.84 - 76.58	YES	NO	Bacillus cereus; Bacillus thuringiensis	47.00	0.00	47.00	3.47	32.80	43.14	0	0	0	0	N/A	N/A		939; 933; 951; 951; 969	class A Bacillus cereus Bc beta-lactamase	cephalosporin	antibiotic inactivation
SatA	3005045	protein homolog model	Resistomes & Variants	1	92.31	NO	NO	Bacillus cereus	1.00	0.00	1.00	3.08	17.00	23.00	0	0	0	0	N/A	N/A		552	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
vanY gene in vanA cluster	3002955	protein homolog model	Resistomes & Variants	4	49.43 - 98.27	YES	YES	Bacillus cereus; Enterococcus faecium	52.00	0.00	52.00	10.60	58.50	69.67	0	0	0	0	N/A	N/A		339; 861; 327; 555	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanR gene in vanA cluster	3002919	protein homolog model	Resistomes & Variants	2	90.0 - 91.34	NO	YES	Bacillus cereus; Bacillus thuringiensis	12.00	0.00	12.00	18.04	125.50	65.50	0	0	0	0	N/A	N/A		696; 696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
vanY gene in vanB cluster	3002956	protein homolog model	Resistomes & Variants	50	27.55 - 49.16	YES	NO	Bacillus cereus; Bacillus thuringiensis; Clostridium perfringens; Clostridium botulinum; Clostridium sporogenes; Clostridium butyricum; Paeniclostridium sordellii; Gemella sanguinis; Streptococcus anginosus; Enterococcus avium; Faecalibacterium prausnitzii; Streptococcus sanguinis; Streptococcus gallolyticus; Streptococcus pasteurianus; Erysipelatoclostridium ramosum; Streptococcus constellatus; Streptococcus equi; Francisella philomiragia; Streptococcus suis; Lactococcus garvieae; Gemella haemolysans; Streptococcus pneumoniae	1060.00	0.00	1060.00	29.48	285.06	127.12	0	0	0	0	N/A	N/A		780; 780; 780; 780; 756; 792; 792; 792; 699; 801; 699; 870; 666; 705; 798; 3681; 3981; 3615; 3615; 807; 747; 783; 891; 891; 891; 891; 891; 891; 891; 891; 891; 891; 1044; 774; 774; 1248; 867; 723; 867; 1248; 1191; 1191; 3924; 744; 465; 753; 804; 768; 873; 936	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
vanY gene in vanF cluster	3002958	protein homolog model	Resistomes & Variants	12	29.3 - 75.0	YES	NO	Bacillus cereus; Brevibacillus laterosporus; Blautia producta; Faecalibacterium prausnitzii; Erysipelatoclostridium ramosum	514.00	0.00	514.00	48.47	403.42	141.99	0	0	0	0	N/A	N/A		861; 861; 246; 555; 807; 807; 807; 807; 807; 807; 807; 1176	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
BcII	3002878	protein homolog model	Resistomes & Variants	2	90.59 - 95.31	NO	NO	Bacillus cereus	2.00	0.00	2.00	2.33	18.00	28.50	0	0	0	0	N/A	N/A		771; 774	subclass B1 Bacillus cereus Bc beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation
qacJ	3007014	protein homolog model	Resistomes & Variants	17	33.98 - 71.03	YES	YES	Bacillus cereus; Bacillus halotolerans; Bacillus subtilis; Bacillus velezensis; Bacillus amyloliquefaciens; Bacillus pumilus; Escherichia coli; Providencia heimbachae; Klebsiella pneumoniae; Serratia rubidaea; Klebsiella oxytoca; Enterobacter hormaechei; Macrococcus canis; Staphylococcus aureus	146.00	0.00	146.00	20.02	87.88	79.25	0	0	0	0	N/A	N/A		324; 378; 378; 384; 348; 357; 312; 294; 408; 627; 327; 720; 330; 330; 513; 324; 447	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux
tetB(P)	3000195	protein homolog model	Resistomes & Variants	5	45.3 - 99.54	YES	YES	Bacillus cereus; Clostridium perfringens; Enterococcus faecium; Clostridium butyricum; Paeniclostridium sordellii; unclassified Bacteria; Peptacetobacter hiranonis	149.00	0.00	149.00	52.83	1034.80	159.33	0	0	0	0	N/A	N/A		1944; 1959; 1959; 1959; 1959	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
vanY gene in vanM cluster	3002961	protein homolog model	Resistomes & Variants	15	28.57 - 43.57	YES	NO	Bacillus cereus; Borrelia crocidurae; Blautia producta; Paeniclostridium sordellii; Streptococcus mitis; Faecalibacterium prausnitzii; Treponema denticola; Streptococcus gordonii; Streptococcus pneumoniae; Rothia mucilaginosa; Staphylococcus arlettae	314.00	0.00	314.00	25.89	188.27	109.18	0	0	0	0	N/A	N/A		732; 807; 582; 582; 720; 720; 717; 807; 801; 723; 939; 816; 840; 909; 678	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
adeF	3000777	protein homolog model	Resistomes & Variants	67	40.73 - 79.75	YES	NO	Campylobacter concisus; Bacteroides ovatus; Bacteroides thetaiotaomicron; Bacteroides caccae; Bacteroides fragilis; Enterobacter cloacae; Phocaeicola massiliensis; Phocaeicola vulgatus; Klebsiella pneumoniae; Enterobacter hormaechei; Ralstonia pickettii; Parabacteroides distasonis; Ralstonia solanacearum; Providencia rettgeri; Serratia marcescens	4872.00	0.00	4872.00	22.56	711.18	148.41	0	0	0	0	N/A	N/A		3126; 3150; 3150; 3150; 3105; 3105; 3150; 3105; 3105; 3105; 3105; 3105; 3150; 3105; 3150; 3150; 3105; 3105; 3105; 3150; 3150; 3105; 3105; 3150; 3258; 3105; 3147; 3147; 3105; 3105; 3105; 3105; 3105; 3147; 3105; 3123; 3147; 3123; 3180; 3123; 3180; 3180; 3237; 3114; 3117; 3114; 3147; 3099; 3117; 3099; 3117; 3102; 3102; 3147; 3336; 3117; 3114; 3207; 3165; 4485; 4485; 3138; 4485; 3138; 3156; 3159; 3120	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
OXA-465	3003621	protein homolog model	Resistomes & Variants	1	99.59	YES	NO	Campylobacter jejuni	112.00	0.00	112.00	14.49	113.00	73.24	0	0	0	0	N/A	N/A		780	OXA beta-lactamase; OXA-184-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
OXA-184	3001476	protein homolog model	Resistomes & Variants	1	98.79	NO	NO	Campylobacter jejuni	17.00	0.00	17.00	17.08	164.00	54.82	0	0	0	0	N/A	N/A		960	OXA beta-lactamase; OXA-184-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
APH(2'')-If	3004191	protein homolog model	Resistomes & Variants	2	97.17 - 99.33	NO	NO	Campylobacter jejuni; Campylobacter upsaliensis	4.00	0.00	4.00	12.71	160.00	180.50	0	0	0	0	N/A	N/A		1455; 906	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
SAT-4	3002897	protein homolog model	Resistomes & Variants	4	96.2 - 99.44	NO	NO	Campylobacter jejuni; Staphylococcus epidermidis; Staphylococcus aureus; Streptococcus pyogenes	149.00	0.00	149.00	57.30	285.00	141.59	0	0	0	0	N/A	N/A		573; 579; 471; 255	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
vanY gene in vanG cluster	3002959	protein homolog model	Resistomes & Variants	11	30.96 - 43.55	NO	NO	Bacillus tequilensis; Bacillus halotolerans; Clostridium perfringens; Bacillus pumilus; Bacillus subtilis; Clostridium sporogenes; Enterocloster clostridioformis; Streptococcus gordonii; Streptococcus mutans	76.00	0.00	76.00	21.12	177.36	92.03	0	0	0	0	N/A	N/A		825; 882; 792; 831; 831; 822; 828; 756; 915; 798; 750	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
tet(W)	3000194	protein homolog model	Resistomes & Variants	19	95.85 - 100.0	YES	NO	Bifidobacterium bifidum; Bifidobacterium breve; Bifidobacterium longum; Bifidobacterium thermophilum; Corynebacterium amycolatum; Corynebacterium diphtheriae; Corynebacterium jeikeium; Eggerthella lenta; Faecalibacterium prausnitzii; Gordonibacter urolithinfaciens; Lactobacillus crispatus; Lactobacillus johnsonii; Ligilactobacillus animalis; Mobiluncus mulieris; Streptococcus agalactiae; Streptococcus equi; Streptococcus mitis; Streptococcus suis; Trueperella pyogenes; Victivallales bacterium; Collinsella aerofaciens; Roseburia hominis; Eubacterium maltosivorans	2379.00	0.00	2379.00	32.72	546.37	140.66	0	0	0	0	N/A	N/A		1920; 693; 1080; 1920; 1530; 1689; 2082; 1653; 714; 693; 1941; 1920; 1920; 1920; 1920; 1920; 1932; 1920; 219	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	protein homolog model	Resistomes & Variants	12	99.01 - 99.82	YES	NO	Bifidobacterium bifidum	1380.00	0.00	1380.00	27.91	928.67	139.91	0	0	0	0	N/A	N/A		3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327; 3327	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration
ErmX	3000596	protein homolog model	Resistomes & Variants	13	86.97 - 90.14	YES	NO	Bifidobacterium bifidum; Corynebacterium diphtheriae; Bifidobacterium dentium; Mobiluncus mulieris; Rothia mucilaginosa; Bifidobacterium longum; Bifidobacterium breve; Trueperella pyogenes	581.00	0.00	581.00	53.96	461.92	185.24	0	0	0	0	N/A	N/A		855; 855; 855; 855; 855; 855; 855; 855; 855; 855; 855; 855; 891	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
FosB	3000172	protein homolog model	Resistomes & Variants	1	98.32	NO	NO	Bacillus thuringiensis	1.00	0.00	1.00	4.72	17.00	23.00	0	0	0	0	N/A	N/A		360	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
ErmB	3000375	protein homolog model	Resistomes & Variants	23	96.28 - 99.18	YES	YES	Bacillus thuringiensis; Enterococcus faecium; Escherichia coli; Bacteroides thetaiotaomicron; Enterococcus faecalis; Enterococcus hirae; Erysipelatoclostridium ramosum; Streptococcus anginosus; Streptococcus lutetiensis; Streptococcus pasteurianus; Streptococcus pyogenes; Streptococcus suis; Streptococcus agalactiae; Streptococcus gallolyticus; Ruthenibacterium lactatiformans; Streptococcus pneumoniae	3052.00	0.00	3052.00	47.27	372.43	163.76	0	0	0	0	N/A	N/A		738; 738; 738; 810; 777; 810; 738; 810; 783; 807; 723; 762; 747; 762; 792; 738; 726; 795; 795; 768; 855; 738; 738	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
emrB	3000074	protein homolog model	Resistomes & Variants	12	93.79 - 100.0	YES	NO	Citrobacter werkmanii; Citrobacter freundii; Citrobacter amalonaticus; Escherichia coli; Enterobacter hormaechei; Shigella boydii; Escherichia marmotae	63.00	0.00	63.00	9.15	141.50	112.18	0	0	0	0	N/A	N/A		1539; 1539; 1539; 1539; 1539; 1539; 1560; 1539; 1539; 1548; 1566; 1539	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
Klebsiella pneumoniae KpnF	3004583	protein homolog model	Resistomes & Variants	8	72.9 - 92.66	YES	NO	Citrobacter koseri; Cronobacter universalis; Providencia alcalifaciens; Escherichia coli; Klebsiella aerogenes; Salmonella enterica; Enterobacter roggenkampii	12.00	0.00	12.00	13.76	45.12	70.50	0	0	0	0	N/A	N/A		330; 330; 333; 333; 321; 330; 330; 330	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux
clbA	3002814	protein homolog model	Resistomes & Variants	2	97.13 - 97.71	YES	NO	Bacillus velezensis	3.00	0.00	3.00	2.15	22.50	40.00	0	0	0	0	N/A	N/A		1050; 1050	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration
ErmF	3000498	protein homolog model	Resistomes & Variants	9	97.74 - 99.62	YES	NO	Bacteroides fragilis; Bacteroides ovatus; Phocaeicola vulgatus; Bacteroides caccae; Bacteroides thetaiotaomicron; Parabacteroides distasonis; Phocaeicola dorei; Histophilus somni	3518.00	0.00	3518.00	58.19	537.44	145.36	0	0	0	0	N/A	N/A		1632; 801; 834; 921; 867; 801; 801; 858; 801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
EstT	3007459	protein homolog model	Resistomes & Variants	2	98.69 - 99.02	YES	NO	Bacteroides ovatus; Phocaeicola vulgatus; Riemerella anatipestifer; Myroides odoratimimus	91.00	0.00	91.00	75.96	695.00	184.08	0	0	0	0	N/A	N/A		915; 915	macrolide esterase	macrolide antibiotic	antibiotic inactivation
EreD	3004608	protein homolog model	Resistomes & Variants	1	95.34	YES	YES	Bacteroides fragilis; Bacteroides ovatus; Bacteroides thetaiotaomicron; Phocaeicola vulgatus; Elizabethkingia anophelis; Myroides odoratimimus; Myroides phaeus; Riemerella anatipestifer	133.00	0.00	133.00	100.00	1227.00	187.35	0	0	0	0	N/A	N/A		1227	macrolide esterase	macrolide antibiotic	antibiotic inactivation
Klebsiella pneumoniae KpnH	3004597	protein homolog model	Resistomes & Variants	22	67.2 - 99.77	YES	NO	Cronobacter dublinensis; Enterobacter cloacae; Plesiomonas shigelloides; Escherichia coli; Morganella morganii; Klebsiella oxytoca; Enterobacter hormaechei; Klebsiella quasipneumoniae; Providencia stuartii; Haemophilus influenzae; Haemophilus parainfluenzae; Yersinia enterocolitica; Serratia marcescens	299.00	0.00	299.00	7.15	112.68	95.57	0	0	0	0	N/A	N/A		1539; 1536; 1533; 1794; 1374; 1443; 1629; 1419; 1533; 1539; 1548; 1545; 1536; 1527; 1527; 1527; 1527; 1527; 1536; 1533; 1536; 1539	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; peptide antibiotic	antibiotic efflux
mphJ	3004544	protein homolog model	Resistomes & Variants	1	91.18	YES	NO	Brevibacillus brevis	1.00	0.00	1.00	2.49	23.00	34.00	0	0	0	0	N/A	N/A		924	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
BLMT	3005036	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Burkholderia glumae	8.00	0.00	8.00	36.17	153.00	162.25	0	0	0	0	N/A	N/A		423	Bleomycin resistant protein	glycopeptide antibiotic	antibiotic inactivation
OXA-193	3001478	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Campylobacter coli	4.00	0.00	4.00	5.81	45.00	67.75	0	0	0	0	N/A	N/A		774	OXA beta-lactamase; OXA-61-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation
aad(6)	3002628	protein homolog model	Resistomes & Variants	3	93.24 - 100.0	NO	NO	Campylobacter coli; Enterococcus faecium; Streptococcus suis	244.00	0.00	244.00	60.97	569.67	149.44	0	0	0	0	N/A	N/A		840; 969; 909	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
mdtG	3001329	protein homolog model	Resistomes & Variants	8	91.54 - 100.0	YES	NO	Citrobacter freundii; Escherichia coli	22.00	0.00	22.00	16.93	210.88	166.18	0	0	0	0	N/A	N/A		1221; 1227; 1227; 1227; 1227; 1281; 1275; 1227	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
leuO	3003843	protein homolog model	Resistomes & Variants	9	79.62 - 99.36	YES	NO	Citrobacter freundii; Escherichia coli; Klebsiella pneumoniae; Enterobacter hormaechei; Shigella boydii; Leclercia adecarboxylata	58.00	0.00	58.00	23.83	242.56	156.38	0	0	0	0	N/A	N/A		1164; 969; 1122; 969; 960; 1020; 945; 1122; 945	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
mdtC	3000794	protein homolog model	Resistomes & Variants	7	93.74 - 99.51	YES	NO	Citrobacter freundii; Escherichia coli	24.00	0.00	24.00	9.60	335.43	169.02	0	0	0	0	N/A	N/A		4491; 3078; 6201; 3078; 3078; 3078; 3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
CMY-70	3002083	protein homolog model	Resistomes & Variants	1	99.48	NO	NO	Citrobacter freundii	1.00	0.00	1.00	2.36	27.00	34.00	0	0	0	0	N/A	N/A		1146	CMY beta-lactamase	cephalosporin	antibiotic inactivation
PmrF	3003578	protein homolog model	Resistomes & Variants	8	87.85 - 100.0	YES	NO	Citrobacter freundii; Escherichia coli; Escherichia albertii	22.00	0.00	22.00	20.20	198.00	147.94	0	0	0	0	N/A	N/A		984; 969; 969; 969; 969; 969; 1014; 969	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
tet(36)	3000197	protein homolog model	Resistomes & Variants	9	31.8 - 33.88	YES	NO	Clostridium septicum; Clostridium botulinum; Clostridium sporogenes	162.00	0.00	162.00	9.99	195.56	88.07	0	0	0	0	N/A	N/A		1956; 1998; 1956; 1956; 1956; 1956; 1956; 1956; 1956	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
vanY gene in vanD cluster	3002957	protein homolog model	Resistomes & Variants	2	42.74 - 93.16	NO	NO	Blautia producta; Enterococcus faecalis	12.00	0.00	12.00	31.92	346.50	113.25	0	0	0	0	N/A	N/A		1053; 1092	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
